query,elapsed_ms,total_records,node_pruned,cluster_pruned,local_vq_pruned,record_pruned,exact_evaluated,node_mbr_us,cluster_bound_us,local_vq_us,record_bound_us,exact_distance_us,other_us
28,71.750000,578853,0,42,0,535391,43420,97,717,0,53223,11537,6176
29,36.739000,578853,0,4645,0,571190,3018,75,555,0,34753,773,583
30,41.721000,578853,0,42,0,578347,464,76,563,0,40714,139,229
31,48.276000,578853,0,42,0,556250,22561,78,571,0,39038,5535,3054
32,64.828000,578853,0,26,0,543306,35521,68,582,0,50773,8708,4697
33,117.034000,578853,0,42,0,419781,159030,86,586,0,59702,39631,17029
34,20.946000,578853,174945,6558,0,397250,100,47,389,0,20342,26,142
35,6.494000,578853,434139,22583,0,120442,1689,24,123,0,5625,453,269
36,28.780000,578853,12689,24846,0,541259,59,75,522,0,28018,15,150
37,266.643000,578853,0,19,0,22962,555872,88,600,0,74108,138643,53204
38,75.475000,578853,0,19,0,515731,63103,85,558,0,51513,15456,7863
39,21.538000,578853,152381,19876,0,406506,90,50,403,0,20925,31,129
40,38.676000,578853,0,42,0,572075,6736,73,540,0,35421,1588,1054
41,40.225000,578853,0,3335,0,566767,8751,68,545,0,36198,2151,1263
42,102.821000,578853,0,26,0,448595,130232,84,567,0,56042,31884,14244
43,48.430000,578853,0,33,0,556972,21848,77,558,0,39687,5159,2949
44,33.263000,578853,154725,4484,0,401448,18196,43,430,0,26364,4276,2150
45,275.011000,578853,0,19,0,3,578831,95,615,0,73065,145137,56099
46,142.358000,578853,0,35,0,364585,214233,86,586,0,65457,53294,22935
47,157.316000,578853,0,19,0,331517,247317,82,569,0,69365,61852,25448
48,231.217000,578853,0,35,0,114851,463967,86,590,0,69027,116074,45440
49,275.103000,578853,0,19,0,0,578834,91,573,0,74314,144532,55593
50,267.870000,578853,0,19,0,19980,558854,88,599,0,74584,138399,54200
51,264.924000,578853,0,19,0,18069,560765,95,581,0,74675,136181,53392
52,172.179000,578853,0,26,0,237337,341490,83,597,0,65452,71916,34131
53,209.841000,578853,0,19,0,178759,400075,90,601,0,70274,99369,39507
54,193.894000,578853,0,26,0,237701,341126,94,630,0,70376,86161,36633
55,71.066000,578853,86974,11164,0,393100,87615,63,492,0,40220,20482,9809
56,102.770000,578853,72356,4472,0,353068,148957,61,527,0,49800,36373,16009
57,272.658000,578853,0,19,0,277,578557,85,598,0,72471,143813,55691
58,71.182000,578853,144713,7536,0,321846,104758,55,421,0,35669,24185,10852
59,13.838000,578853,368030,6360,0,202039,2424,36,203,0,12551,561,487
60,26.371000,578853,260187,7503,0,294698,16465,41,285,0,20055,4106,1884
61,47.557000,578853,51071,33850,0,455475,38457,57,493,0,33939,8261,4807
62,250.429000,578853,0,26,0,56159,522668,91,609,0,71049,128671,50009
63,30.019000,578853,388113,6088,0,136188,48464,34,190,0,13515,11265,5015
64,134.466000,578853,0,19,0,390421,188413,95,576,0,68208,45851,19736
65,36.259000,578853,361783,4310,0,153628,59132,29,223,0,15943,13820,6244
66,254.055000,578853,0,19,0,44051,534783,85,595,0,73083,128315,51977
67,102.183000,578853,72355,3864,0,359226,143408,64,511,0,50740,35650,15218
68,1.636000,578853,551204,1251,0,26067,331,8,20,0,1391,88,129
69,229.019000,578853,0,35,0,113937,464881,85,592,0,67200,115960,45182
70,74.594000,578853,111916,6848,0,360368,99721,59,484,0,39609,23644,10798
71,3.825000,578853,522293,3228,0,51911,1421,13,47,0,3130,344,291
72,35.024000,578853,0,19,0,577174,1660,79,556,0,33690,423,276
73,15.392000,578853,153355,37930,0,387535,33,47,351,0,14873,8,113
74,28.371000,578853,0,35,0,578593,225,67,519,0,27566,61,158
75,21.524000,578853,12706,72756,0,493360,31,66,508,0,20830,9,111
76,27.390000,578853,0,25564,0,553209,80,67,539,0,26625,17,142
77,24.051000,578853,12689,27744,0,538293,127,69,519,0,23304,30,129
78,23.821000,578853,44951,14594,0,519273,35,59,492,0,23124,10,136
79,21.806000,578853,25395,45908,0,507414,136,59,504,0,21016,67,160
80,12.194000,578853,168482,95081,0,315283,7,32,320,0,11744,7,91
81,17.246000,578853,93419,21764,0,463652,18,46,432,0,16653,8,107
82,19.201000,578853,72355,13952,0,492539,7,53,465,0,18578,3,102
83,23.597000,578853,72355,14,0,506463,21,48,470,0,22957,12,110
84,20.314000,578853,72355,30,0,506412,56,51,469,0,19647,28,119
85,13.502000,578853,125482,91085,0,362281,5,45,369,0,12996,2,90
86,11.362000,578853,121071,119314,0,338458,10,50,349,0,10850,5,108
87,19.952000,578853,25739,28861,0,524230,23,62,488,0,19256,13,133
88,13.893000,578853,145028,61286,0,372538,1,48,365,0,13377,1,102
89,25.952000,578853,0,14701,0,564062,90,69,524,0,25209,27,123
90,22.437000,578853,25395,42004,0,511425,29,61,498,0,21724,6,148
91,19.668000,578853,72355,34611,0,471871,16,48,465,0,19031,5,119
92,24.294000,578853,0,49206,0,529624,23,71,516,0,23592,8,107
93,8.788000,578853,284679,48596,0,245575,3,31,220,0,8436,2,99
94,8.232000,578853,254372,82537,0,241943,1,24,227,0,7897,1,83
95,3.724000,578853,304011,139833,0,135005,4,26,147,0,3476,5,70
96,10.650000,578853,151064,82759,0,345022,8,44,316,0,10200,6,84
97,5.855000,578853,249232,118416,0,211201,4,28,221,0,5526,1,79
98,16.676000,578853,72356,54560,0,451918,19,50,435,0,16067,6,118
99,14.350000,578853,150960,24083,0,403800,10,47,348,0,13851,7,97
