query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
86,578853,1293,9793,64,121071,45,736,130870,654,312114,9336,1093,317576,317570,3769,8,2,1,4,0,4231
87,578853,2015,23334,64,0,56,896,33909,1115,520037,84549,1892,460395,460241,15104,265,49,38,105,25,5104
88,578853,1324,10827,64,145027,40,688,77042,644,342026,17786,1192,338998,338987,4401,32,1,2,10,3,4545
89,578853,1925,25875,64,0,68,896,6166,1130,547780,103359,2001,469328,469135,17422,279,116,38,77,23,5193
90,578853,1956,21472,64,0,62,896,34864,1107,519082,90182,1940,453807,453710,13442,175,20,19,77,26,4876
91,578853,1620,16218,64,38141,57,848,45857,954,469948,69092,1690,425763,425734,8715,66,3,4,26,6,4792
92,578853,2154,24337,64,0,60,896,1390,1112,552556,115558,2082,461905,461700,15770,311,104,23,101,33,5257
93,578853,1341,8148,64,284679,32,448,47610,422,234115,27084,844,219480,219464,2833,43,2,2,14,4,4011
94,578853,1140,7369,64,254372,27,496,112319,362,207458,9485,704,202677,202668,2131,16,2,0,7,2,4143
95,578853,1056,6647,64,253289,33,496,203690,200,109431,3140,338,118734,118716,1288,28,3,5,15,2,4781
96,578853,1210,10285,64,111946,45,752,102001,697,347753,18422,1213,346484,346455,4186,51,6,4,23,5,4135
97,578853,1281,7579,64,178974,32,656,198758,382,192526,4578,680,196543,196522,2118,58,0,8,21,5,4354
98,578853,1655,16805,64,72356,52,800,40605,987,448724,46622,1594,419270,419203,9147,126,23,9,44,10,5006
99,578853,1365,12906,64,144713,45,672,25801,740,391186,47105,1404,361234,361206,6037,64,3,5,25,6,4669
