Method,Dataset,TLB
sfa_equi-width_True,GestureMidAirD2,0.5847579870339042
sfa_equi-width_False,GestureMidAirD2,0.5855332173197825
sfa_equi-depth_True,GestureMidAirD2,0.6435142644029873
sfa_equi-depth_False,GestureMidAirD2,0.6434086543770738
isax,GestureMidAirD3,0.6336213462429784
sfa_equi-width_True,GestureMidAirD3,0.6790930122280873
sfa_equi-width_False,GestureMidAirD3,0.6779899565921331
sfa_equi-depth_True,GestureMidAirD3,0.7051470805588054
sfa_equi-depth_False,GestureMidAirD3,0.7044392679784899
isax,GesturePebbleZ1,0.4254482954522839
sfa_equi-width_True,GesturePebbleZ1,0.4710738358371994
sfa_equi-width_False,GesturePebbleZ1,0.4710738358371994
sfa_equi-depth_True,GesturePebbleZ1,0.47964899475988065
sfa_equi-depth_False,GesturePebbleZ1,0.47964899475988065
isax,GesturePebbleZ2,0.4301422875796293
sfa_equi-width_True,GesturePebbleZ2,0.4657760097669893
sfa_equi-width_False,GesturePebbleZ2,0.4664443329774721
sfa_equi-depth_True,GesturePebbleZ2,0.48393892692830043
sfa_equi-depth_False,GesturePebbleZ2,0.4847242320957047
isax,GunPoint,0.5400910357061475
sfa_equi-width_True,GunPoint,0.6364523000379165
sfa_equi-width_False,GunPoint,0.6364523000379165
sfa_equi-depth_True,GunPoint,0.6567879140554251
sfa_equi-depth_False,GunPoint,0.6567879140554251
isax,GunPointAgeSpan,0.5839752129635623
sfa_equi-width_True,GunPointAgeSpan,0.6447299029862639
sfa_equi-width_False,GunPointAgeSpan,0.6447299029862639
sfa_equi-depth_True,GunPointAgeSpan,0.6483169699412177
sfa_equi-depth_False,GunPointAgeSpan,0.6483169699412177
isax,GunPointMaleVersusFemale,0.5846467071937813
sfa_equi-width_True,GunPointMaleVersusFemale,0.6388180163322895
sfa_equi-width_False,GunPointMaleVersusFemale,0.6388180163322895
sfa_equi-depth_True,GunPointMaleVersusFemale,0.6501263594181249
sfa_equi-depth_False,GunPointMaleVersusFemale,0.6501263594181249
isax,GunPointOldVersusYoung,0.5786842987276749
sfa_equi-width_True,GunPointOldVersusYoung,0.6444051413101314
sfa_equi-width_False,GunPointOldVersusYoung,0.6444051413101314
sfa_equi-depth_True,GunPointOldVersusYoung,0.650657412727721
sfa_equi-depth_False,GunPointOldVersusYoung,0.650657412727721
isax,Ham,0.2604979268792378
sfa_equi-width_True,Ham,0.4119309842434368
sfa_equi-width_False,Ham,0.4136780988221491
sfa_equi-depth_True,Ham,0.4353727491261754
sfa_equi-depth_False,Ham,0.4386972807194686
isax,HandOutlines,0.22257862727770958
sfa_equi-width_True,HandOutlines,0.39845500067462847
sfa_equi-width_False,HandOutlines,0.4013564278708298
