Method,Dataset,Pruning Power
sfa_equi-width_True,BirdChicken,0.85
sfa_equi-width_True,BME,0.8733333333333333
sfa_equi-width_True,Car,0.7833333333333333
sfa_equi-width_True,CBF,0.34555555555555556
sfa_equi-width_True,Chinatown,0.9067055393586005
sfa_equi-width_True,ChlorineConcentration,0.8669270833333333
sfa_equi-width_True,CinCECGTorso,0.4963768115942029
sfa_equi-width_True,Coffee,0.7142857142857143
sfa_equi-width_True,Computers,0.748
sfa_equi-width_True,CricketX,0.8051282051282052
sfa_equi-width_True,CricketY,0.7897435897435897
sfa_equi-width_True,CricketZ,0.8384615384615385
sfa_equi-width_True,Crop,0.9745238095238096
sfa_equi-width_True,DiatomSizeReduction,0.8496732026143791
sfa_equi-width_True,DistalPhalanxOutlineAgeGroup,0.9064748201438849
sfa_equi-width_True,DistalPhalanxOutlineCorrect,0.8333333333333334
sfa_equi-width_True,DistalPhalanxTW,0.9136690647482014
sfa_equi-width_True,DodgerLoopDay,0.55
sfa_equi-width_True,DodgerLoopGame,0.10144927536231885
sfa_equi-width_True,DodgerLoopWeekend,0.08695652173913043
sfa_equi-width_True,Earthquakes,0.0
sfa_equi-width_True,ECG200,0.86
sfa_equi-width_True,ECG5000,0.7715555555555556
sfa_equi-width_True,ECGFiveDays,0.6980255516840883
sfa_equi-width_True,EOGHorizontalSignal,0.9668508287292817
sfa_equi-width_True,EOGVerticalSignal,0.9226519337016574
sfa_equi-width_True,EthanolLevel,0.898
sfa_equi-width_True,FaceAll,0.757396449704142
sfa_equi-width_True,FaceFour,0.375
sfa_equi-width_True,FacesUCR,0.7263414634146341
sfa_equi-width_True,FiftyWords,0.9516483516483516
sfa_equi-width_True,Fish,0.7657142857142857
sfa_equi-width_True,FordA,0.43106060606060603
sfa_equi-width_True,FordB,0.30246913580246915
sfa_equi-width_True,FreezerRegularTrain,0.8270175438596491
sfa_equi-width_True,FreezerSmallTrain,0.8308771929824561
sfa_equi-width_True,Fungi,0.9623655913978495
sfa_equi-width_True,GestureMidAirD1,0.9538461538461539
sfa_equi-width_True,GestureMidAirD2,0.9307692307692308
sfa_equi-width_True,GestureMidAirD3,0.9615384615384616
sfa_equi-width_True,GesturePebbleZ1,0.4883720930232558
sfa_equi-width_True,GesturePebbleZ2,0.5443037974683544
sfa_equi-width_True,GunPoint,0.9733333333333334
sfa_equi-width_True,GunPointAgeSpan,0.9588607594936709
sfa_equi-width_True,GunPointMaleVersusFemale,0.9556962025316456
sfa_equi-width_True,GunPointOldVersusYoung,0.9809523809523809
sfa_equi-width_True,Ham,0.9809523809523809
sfa_equi-width_True,HandOutlines,1.0
sfa_equi-width_True,Haptics,0.7402597402597403
sfa_equi-width_True,Herring,0.890625
sfa_equi-width_True,HouseTwenty,0.09243697478991597
sfa_equi-width_True,InlineSkate,0.9854545454545455
sfa_equi-width_True,InsectEPGRegularTrain,0.8433734939759037
sfa_equi-width_True,InsectEPGSmallTrain,0.5943775100401606
sfa_equi-width_True,InsectWingbeatSound,0.9232323232323232
sfa_equi-width_True,ItalyPowerDemand,0.9591836734693877
sfa_equi-width_True,LargeKitchenAppliances,0.152
sfa_equi-width_True,Lightning2,0.3114754098360656
sfa_equi-width_True,Lightning7,0.3698630136986301
sfa_equi-width_True,Mallat,0.7484008528784648
sfa_equi-width_True,Meat,0.9166666666666666
sfa_equi-width_True,MedicalImages,0.9776315789473684
sfa_equi-width_True,MiddlePhalanxOutlineAgeGroup,0.7077922077922078
sfa_equi-width_True,MiddlePhalanxOutlineCorrect,0.7560137457044673
sfa_equi-width_True,MiddlePhalanxTW,0.9285714285714286
sfa_equi-width_True,MixedShapesRegularTrain,0.9760824742268042
sfa_equi-width_True,MixedShapesSmallTrain,0.9727835051546392
sfa_equi-width_True,MoteStrain,0.6964856230031949
sfa_equi-width_True,NonInvasiveFetalECGThorax1,0.9760814249363867
sfa_equi-width_True,NonInvasiveFetalECGThorax2,0.9740458015267176
sfa_equi-width_True,OliveOil,0.9333333333333333
sfa_equi-width_True,OSULeaf,0.9752066115702479
sfa_equi-width_True,PhalangesOutlinesCorrect,0.9696969696969697
sfa_equi-width_True,Phoneme,0.0015822784810126582
sfa_equi-width_True,PickupGestureWiimoteZ,1.0
sfa_equi-width_True,PigAirwayPressure,0.9230769230769231
sfa_equi-width_True,PigArtPressure,0.8076923076923077
sfa_equi-width_True,PigCVP,0.46153846153846156
sfa_equi-width_True,PLAID,0.7206703910614525
sfa_equi-width_True,Plane,0.9619047619047619
sfa_equi-width_True,PowerCons,0.7111111111111111
sfa_equi-width_True,ProximalPhalanxOutlineAgeGroup,0.8682926829268293
sfa_equi-width_True,ProximalPhalanxOutlineCorrect,0.9072164948453608
sfa_equi-width_True,ProximalPhalanxTW,0.975609756097561
sfa_equi-width_True,RefrigerationDevices,0.04533333333333334
sfa_equi-width_True,Rock,0.78
sfa_equi-width_True,ScreenType,0.5066666666666667
sfa_equi-width_True,SemgHandGenderCh2,0.005
sfa_equi-width_True,SemgHandMovementCh2,0.006666666666666667
sfa_equi-width_True,SemgHandSubjectCh2,0.006666666666666667
sfa_equi-width_True,ShakeGestureWiimoteZ,0.78
sfa_equi-width_True,ShapeletSim,0.0
sfa_equi-width_True,ShapesAll,0.985
sfa_equi-width_True,SmallKitchenAppliances,0.005333333333333333
sfa_equi-width_True,SonyAIBORobotSurface1,0.2945091514143095
sfa_equi-width_True,SonyAIBORobotSurface2,0.49737670514165794
sfa_equi-width_True,StarLightCurves,0.9218067022826615
sfa_equi-width_True,Strawberry,0.9918918918918919
sfa_equi-width_True,SwedishLeaf,0.8544
sfa_equi-width_True,Symbols,0.8231155778894472
sfa_equi-width_True,SyntheticControl,0.8
sfa_equi-width_True,ToeSegmentation1,0.6973684210526315
sfa_equi-width_True,ToeSegmentation2,0.7461538461538462
sfa_equi-width_True,Trace,0.92
sfa_equi-width_True,TwoLeadECG,0.9736611062335382
sfa_equi-width_True,TwoPatterns,0.9295
sfa_equi-width_True,UMD,0.9166666666666666
sfa_equi-width_True,UWaveGestureLibraryAll,0.9148520379676158
sfa_equi-width_True,UWaveGestureLibraryX,0.9882747068676717
sfa_equi-width_True,UWaveGestureLibraryY,0.9751535455053043
sfa_equi-width_True,Wafer,0.9587929915639195
sfa_equi-width_True,Wine,1.0
sfa_equi-width_True,WordSynonyms,0.9341692789968652
sfa_equi-width_True,Worms,0.7012987012987013
sfa_equi-width_True,WormsTwoClass,0.7012987012987013
sfa_equi-width_True,Yoga,0.9803333333333333
sfa_equi-width_False,ArrowHead,0.6114285714285714
sfa_equi-width_False,Beef,0.9
sfa_equi-width_False,BeetleFly,0.65
sfa_equi-width_False,BirdChicken,0.85
sfa_equi-width_False,BME,0.9266666666666666
sfa_equi-width_False,Car,0.9166666666666666
sfa_equi-width_False,CBF,0.4533333333333333
sfa_equi-width_False,Chinatown,0.9067055393586005
sfa_equi-width_False,ChlorineConcentration,0.9109375
sfa_equi-width_False,CinCECGTorso,0.6804347826086956
sfa_equi-width_False,Coffee,0.75
sfa_equi-width_False,Computers,0.724
sfa_equi-width_False,CricketX,0.7769230769230769
sfa_equi-width_False,CricketY,0.9128205128205128
sfa_equi-width_False,CricketZ,0.617948717948718
sfa_equi-width_False,Crop,0.9679761904761904
